year,week,loc,state,country,loc_type,number,event
1918,11,FRESNO,CA,US,CITY,12,CASES
1918,12,FRESNO,CA,US,CITY,17,CASES
1918,13,FRESNO,CA,US,CITY,13,CASES
1918,14,FRESNO,CA,US,CITY,22,CASES
1918,15,FRESNO,CA,US,CITY,10,CASES
1918,16,FRESNO,CA,US,CITY,9,CASES
1918,17,FRESNO,CA,US,CITY,6,CASES
1918,18,FRESNO,CA,US,CITY,4,CASES
1918,19,FRESNO,CA,US,CITY,12,CASES
1918,20,FRESNO,CA,US,CITY,6,CASES
1918,21,FRESNO,CA,US,CITY,11,CASES
1918,36,FRESNO,CA,US,CITY,1,CASES
1919,12,FRESNO,CA,US,CITY,1,CASES
1919,19,FRESNO,CA,US,CITY,1,CASES
1919,50,FRESNO,CA,US,CITY,3,CASES
1919,52,FRESNO,CA,US,CITY,1,CASES
1919,53,FRESNO,CA,US,CITY,1,CASES
1920,2,FRESNO,CA,US,CITY,1,CASES
1920,19,FRESNO,CA,US,CITY,1,CASES
1920,21,FRESNO,CA,US,CITY,4,CASES
1920,22,FRESNO,CA,US,CITY,1,CASES
1920,23,FRESNO,CA,US,CITY,2,CASES
1920,24,FRESNO,CA,US,CITY,1,CASES
